microcystin,x16s,mcy_a_m,doc_ppm,ortho_p_mg_p_l,tkn_mg_n_l,cl_mg_cl_l,p_h,tp,mcya_16s,HAB_next_week
0,1340727.589,0,6.797,-0.03,3.249,29.574,8.62,0.33,0,0
0.4,6323426.845,0,7.893,0.019,2.218,29.016,8.59,0.14,0,0
0.09,1193048.678,0,4.598,0.048,1.849,29.464,8.46,0.164,0,0
0.332,7473110.931,0,5.381,0,2.236,30.533,8.46,-0.342,0,0
3.283,6541765.161,997989.5904,14.06,0.011,0.793,3.658,10.26,0.652,0.152556621,0
2.665,1548234.47,375857.7495,11.97,0.069,0.971,3.53,10.11,0.135,0.242765393,1
18.487,7244674.377,1457969.975,20.376,0.102,2.45,3.504,9.9,0.333,0.201247137,1
22.64,10143468.63,2273699.664,13.71,0.01,2.736,3.528,8.82,0.044,0.224154059,1
22.3,13559330.18,2401253.93,14.2,0.014,3.649,4.092,9.65,0.337,0.177092371,1
8.94,6024707.407,3247682.102,13.27,0.27,3.299,3.576,9.84,0.431,0.539060552,1
16.185,4200602.222,1398590.205,12.29,0.015,2.111,3.592,9.17,0.036,0.332949927,0
3.827,798742.8264,64038.53366,5.348,0.003,1.879,3.342,8.98,0.202,0.080174158,0
1.725,3651177.322,222267.4874,5.022,0.019,1.817,5.28,8.98,-0.408,0.060875566,1
0.043,1601350.761,0,10.1,0.003,0.385,3.108,7.64,0.11,0,0
0.072,558227.8787,0,8.703,0.144,0.353,2.875,8.34,0.043,0,0
0.065,2650245.677,0,10.149,0.163,1.019,2.327,8.91,0.169,0,0
0,2421251.979,0,9.737,0.005,0.934,2.665,8.69,0.099,0,0
0.023,5933610.655,0,8.87,0.019,1.184,2.97,8.37,0.155,0,0
0.063,2245486.972,0,9.601,-0.03,0.868,3.04,8.21,-0.111,0,0
0.405,871631.135,0,9.813,0.053,1.06,2.634,8.48,0.069,0,0
0.17,45278.46984,0,5.069,0.08,1.085,2.496,7.49,0.236,0,0
0.208,1820534.458,0,1.903,0.002,0.839,3.692,7.49,-0.497,0,0
0.015,13457665.83,73842.04736,9.924,0.005,0.453,12.258,8.45,0.24,0.005486988,0
0,2183077.381,0,9.33,0.106,0.522,12.122,8.29,0.125,0,0
0.335,990476.0533,0,8.008,0.0452,0.947,12.398,8.5,0.1862,0,0
0.98,10185850.9,0,8.132,0.014,0.681,11.3,8.03,0.018,0,0
0.135,10765273.36,0,7.853,0.023,1.243,12.152,8.24,0.394,0,0
0.185,2406012.258,0,8.943,-0.04,0.907,11.961,8.46,0.097,0,0
0.305,8139343,0,8.513,0.002,1.133,11.851,8.32,0.016,0,0
0.038,752300.0917,0,5.248,0.208,0.993,11.939,8.43,0.321,0,0
0.38,14279874.66,0,7.126,0.001,2.011,12.113,8.43,-0.211,0,0
0.188,1867870.78,0,4.65,3.247,0.194,13.154,8.4,3.449,0,0
0.05,0,0,5.003,0.017,0.287,21.758,8.5,0.036,0,0
0.213,0,0,4.949,0.0077,0.644,13.832,8.18,0.1207,0,0
0.485,5073549.028,0,4.48,0.005,0.504,13.22,8.8,-0.009,0,0
0.003,3872928.147,0,3.396,0.161,1.026,15.036,7.9,0.484,0,0
0,1780053.557,0,5.267,0.03,1.346,13.936,8.47,0.168,0,0
0.675,2364202.38,19759.47132,5.256,0.005,1.425,14.132,8.17,0.083,0.008357775,0
0.06,237686.9558,0,1.815,0.07,1.547,13.512,8.54,0.177,0,0
0.207,2156813.468,0,1.62,0.003,2.399,15.471,8.54,-0.356,0,0
1.727,1937557.539,857117.0741,9.152,0.007,0.533,12.111,8.7,0.33,0.442369869,0
1.355,4771137.977,356465.601,9.339,0.003,0.463,11.572,8.3,-0.033,0.07471291,0
1.247,663746.063,175812.6995,9.042,0.0088,0.772,13.251,7.91,0.0598,0.264879461,0
1.29,7251691.982,236665.3928,9.687,0.012,1.144,12.021,8.55,0.053,0.032635886,0
5.788,10984715.51,661507.5577,11.45,0.103,2.259,12.545,8.9,0.431,0.060220727,0
2.905,1612594.692,553594.6686,10.22,-0.05,2.673,12.529,8.81,0.101,0.343294364,0
3.535,4810218.887,720328.9483,10.15,0.017,2.078,12.166,8.71,0.055,0.149749723,0
3.303,1292271.686,49070.24423,7.919,0.047,1.692,12.087,8.57,0.163,0.03797208,0
3.54,2721840.16,322711.7911,8.871,0.01,2.903,14.435,8.57,-0.309,0.118563829,1
0.052,745601.3713,0,9.189,0.033,0.191,1.872,8.7,0.055,0,0
0.03,293722.5126,0,8.565,0.066,0.152,0.954,9.2,0.085,0,0
0.327,1700465.414,0,8.968,0.102,0.225,0.662,8.2,0.095,0,0
1.25,2916546.64,0,8.553,0.017,0.221,0.452,8.34,0.006,0,0
0,3595599.142,0,8.115,0.006,0.623,1.315,8.15,0.125,0,0
0.023,1101811.366,0,8.242,2.21,0.737,1.056,8.4,2.295,0,0
0.355,1246760.062,0,7.103,0.017,0.401,1.087,7.54,0.091,0,0
0.052,597584.8041,0,1.931,0.001,0.332,1.01,8.35,0.25,0,0
0.188,1096152.829,0,6.462,0.008,0.483,2.82,8.35,-0.509,0,0
1.245,10293416.49,105318.1288,6.825,0.015,0.466,18.511,7.89,0.183,0.010231601,0
0.428,2106219.311,113143.7806,7.063,0.019,0.697,17.339,7.76,0.02,0.053718898,0
0.868,389815.4964,50310.10376,7.715,0.006,1.754,17.523,8.12,-0.007,0.129061323,0
1.827,3372544.719,97313.10275,8.132,0.004,1.498,17.744,7.91,0.018,0.028854503,1
36.15,21699101.07,1310564.738,7.904,0.155,2.871,18.265,8.12,0.847,0.06039719,0
5.915,2868320.639,469130.4238,9.331,0.1,4.353,18.43,7.8,0.325,0.163555782,0
6.545,6257029.798,601815.9947,9.103,0.024,1.997,18.906,8.21,0.117,0.096182376,0
1.043,1110230.299,0,6.176,0.125,1.629,18.261,8.3,0.213,0,0
1.892,4070989.608,139864.3829,7.504,0.01,1.629,19.634,8.3,-0.376,0.03435636,0
0.57,12032904.21,107352.9073,6.809,0.017,0.525,18.335,7.97,0.14,0.008921612,0
0.517,2510042.421,204925.8683,8.227,0.014,0.87,17.452,7.68,0.027,0.081642392,0
0.51,478193.8636,15630.82635,8.317,0.1099,1.539,18.034,8.2,0.1539,0.032687217,0
0.695,4594107.128,121342.4146,7.719,0.096,1.45,17.428,7.86,0.088,0.026412622,0
0.783,20327205.52,157496.9898,7.535,0.15,4.763,18.351,8.23,0.411,0.007748089,0
1.543,6824330.566,311245.7368,8.426,0.04,4.104,18.937,8.1,0.181,0.045608244,0
2.59,6875360.309,193414.5144,8.475,1.848,2.358,18.601,8.26,2.108,0.028131546,0
1.097,861468.0556,0,6.029,-0.001,1.606,18.471,8.5,0.144,0,0
1.15,3983000.475,220641.9823,7.084,0.019,1.574,19.57,8.5,-0.384,0.055395922,0
0,1297632.82,0,6.125,0.006,0.209,21.542,8.24,0.074,0,0
0.348,422454.2926,76149.41994,6.277,0.211,0.564,22.774,8.3,0.323,0.180254814,0
0.295,5092988.786,53204.94295,7.598,0.561,0.396,22.551,8.24,0.585,0.010446703,0
1.115,2906571.81,107424.0645,6.804,0.063,0.365,22.476,8.15,0.018,0.036959026,0
0.832,10086977.78,236088.4325,6.379,-0.001,0.691,21.055,8.21,0.099,0.023405269,0
0.157,2252979.507,209163.4097,6.087,0.26,1.115,22.355,8.14,0.285,0.092838576,0
0.403,1200695.749,74509.39009,6.847,-0.01,0.741,22.429,8.18,0.217,0.062055179,0
0.138,339600.2346,0,5.368,0.055,0.611,22.699,8.2,0.128,0,0
0.4,1129386.191,79559.51061,5.072,0.009,0.635,25.817,8.2,-0.518,0.070444912,0
0.245,15730898.35,0,7.977,0.002,0.122,6.031,8.4,0.013,0,0
0,3587575.557,0,6.345,0.003,0.235,6.176,8.42,-0.081,0,0
0.213,0,0,6.855,0.008,0.436,6.498,8.3,0.022,0,0
0.45,2989312.648,0,7.385,0.005,0.423,6.507,7.82,-0.002,0,0
0.097,6394321.558,0,6.206,0.116,0.894,6.625,9.03,0.358,0,0
0.04,2395879.564,0,7.276,-0.04,1.484,6.851,8.31,0.152,0,0
0.375,4937357.341,0,7.593,0.005,1.104,6.808,8.11,0.101,0,0
0,448107.1927,0,6.404,0.045,0.634,6.592,7.86,0.06,0,0
0.172,3798040.324,0,5.47,0.009,0.851,8.324,7.86,-0.449,0,0
0.155,2308606.51,141567.0997,5.434,0.007,0.222,10.55,8.79,0.104,0.06132145,0
0,3997691.948,370306.8247,5.591,0.006,0.392,10.149,9.13,0.054,0.092630155,0
3.922,1192785.978,484964.0832,6.343,0.0054,0.665,10.493,9.3,0.0724,0.406580973,0
1.467,3761453.392,164436.1881,6.212,0.053,0.356,10.299,8.81,0.013,0.043716131,0
1.06,4217151.995,62799.52953,6.097,2.494,1.058,10.633,8.81,2.83,0.014891455,0
0,1566067.266,0,6.964,0.07,1.884,10.813,9.15,0.385,0,0
0.455,1724765.352,89555.73903,7.705,0.016,1.996,10.453,9.38,0.488,0.051923433,0
0,1234507.288,0,3.998,0.021,1.009,10.277,9.07,0.004,0,0
0.102,2999524.995,58757.71367,4.666,0.041,0.989,10.952,9.07,-0.388,0.019589006,0
0.403,3124772.627,0,8.447,0.006,0.313,4.986,8.7,0.057,0,0
0,0,0,8.138,0.696,3.01,4.577,7.9,0.714,0,0
0.095,3145036.667,0,9.538,0.399,1.097,5.461,8.36,0.619,0,0
1.023,2035126.822,0,10.13,0.017,0.619,4.524,8.6,-0.019,0,0
0,3867276.177,0,9.352,0.005,1.249,5.044,8,0.171,0,0
0.035,1812949.447,0,8.49,0.06,1.131,4.753,7.88,0.141,0,0
0.412,2454280.252,0,9.217,-0.01,0.892,4.817,8.27,-0.024,0,0
0,290230.833,0,6.491,0.017,0.871,4.928,7.59,0.122,0,0
0,3873587.718,0,6.999,0.083,0.521,8.802,7.59,-0.42,0,0
0.265,1591173.627,0,4.753,0.006,0.346,10.698,8.4,0.183,0,0
0,0,0,4.189,0.01,0.439,10.448,8.3,0.019,0,0
0.72,0,11873.93854,5.254,0.0378,0.822,11.313,8.32,0.1368,0,0
0.995,4359068.687,42735.51587,5.097,0.027,1.17,10.723,8.1,0.088,0.009803818,0
0.19,27437308.11,152294.1693,4.482,0.007,1.868,12.05,8.2,0.413,0.005550624,0
0.188,7221757.049,396235.1732,5.61,0.04,2.656,11.511,8.19,0.316,0.054866866,0
0.412,2939182.438,0,5.697,0.123,1.78,11.817,7.98,0.293,0,0
0.123,1733999.047,0,6.618,0.056,1.198,11.357,7.91,0.019,0,0
0.358,4837506.412,0,1.923,0.019,1.779,11.952,7.91,-0.282,0,0
0.043,5971194.129,0,4.496,0.005,0.261,8.019,8.67,0.187,0,0
0.058,4141440.053,0,4.879,0.039,0.49,7.888,8.96,-0.02,0,0
0.11,1882289.647,0,5.644,0.1335,0.828,8.279,8.6,0.1395,0,0
1.332,3253916.861,0,7.147,0.008,1.012,8.101,8.71,0.013,0,0
0.105,4246335.908,0,5.296,0.197,1.658,8.155,8.61,0.401,0,0
0,1064702.402,0,6.617,0.15,2.363,8.116,8.67,0.351,0,0
0.445,2007846.263,0,6.822,0.002,1.697,7.923,8.65,0.053,0,0
0.142,1266814.814,0,3.831,0.013,1.004,7.102,8.26,0.082,0,0
0.803,4089657.753,58812.72229,2.48,-0.002,0.674,7.036,8.26,-0.474,0.014380842,0
0.438,2124202.632,144056.9302,6.918,0.005,0.158,25.375,8.39,0.07,0.067816944,0
0,452466.9365,16025.88893,6.62,0.169,0.441,22.851,8.11,0.183,0.035418917,0
0.455,5000566.988,0,7.171,0.162,0.521,22.666,8.15,0.151,0,0
1.342,4056313.019,161447.292,6.57,0.012,0.607,21.666,8.19,-0.032,0.039801488,0
