microcystin,x16s,mcy_a_m,doc_ppm,ortho_p_mg_p_l,tkn_mg_n_l,cl_mg_cl_l,p_h,tp,mcya_16s,HAB_next_week
0,54745287.81,0,6.917,0.004,0.986,13.304,8.34,0.171,0,0
0.2,9399961.372,22689.64809,6.22064,0.002,1.008,13.295,8.46,0.45,0.002413802,0
0.18,12486833.22,0,12.64628,0.002,1.323,13.59,8.49,0.291,0,0
0.38,3280550.874,6229.460716,5.438,0.002,1.056,13.12,8.52,0.039,0.001898907,0
0.068,26295810.6,0,5.703,0.001,1.061,13.381,8.49,0.229,0,0
0.69,2942282.887,6917.034896,6.222,0.003,1.076,12.226,8.31,0.125,0.002350907,0
5.485,7635179.876,0,7.483,0.006,1.384,13.636,NA,0.236,0,0
0.207,3158873.117,0,7.206,0.003,1.225,31.272,8.64,0.122,0,0
0.235,8156457.794,0,7.198674512,0.004,1.302,14.116,NA,0.252,0,0
0.632,5862592.401,0,4.109,0.003,1.374,13.24,8.48,0.286,0,0
0.338,5774237.861,81560.91476,7.046,0,1.346,15.098,8.73,0.309,0.014124966,0
1.287,2190341.971,0,7.452,0.003,1.365,13.293,8.7,0.234,0,0
0.623,1882182.512,0,5.811,0.002,1.476,14.086,8.62,0.148,0,0
0.3,1286236.653,0,4.422,0.001,0.725,14.8,8.42,0.026,0,0
0.095,18047189.25,0,3.751,0.004,0.874,14.463,8.63,0.064,0,0
0,14220842.41,0,3.38,0.006,0.926,14.505,8.33,0.092,0,0
0.095,3155871.119,0,3.4688,0.003,0.929,14.549,8.44,0.362,0,0
0.085,3116151.478,0,3.9184,0.001,0.922,14.551,8.44,0.284,0,0
0.232,1651594.425,0,4.29,0.013,1.327,13.493,8.08,0.269,0,0
0,11909672.13,0,4.316,0.005,1.145,12.791,8.57,0.431,0,0
0.213,2536950.794,4807.631504,3.894,0.008,1.247,14.514,8.32,0.215,0.001895043,0
0.608,11322753.16,0,3.573,0.003,1.488,14.153,8.89,0.193,0,0
0.368,4286896.097,0,5.477,0.008,1.364,15.002,8.84,0.249,0,0
0.135,5458846.42,0,4.17042071,0.004,1.628,15.123,8.66,0.371,0,0
0.298,3425320.761,247530.9411,2.798,0.01,1.986,15.353,8.49,0.178,0.07226504,0
2.523,8735255.223,492253.7453,4.604,0.01,3.515,16.286,9.43,0.317,0.056352532,0
0.97,1965156.573,193276.0097,3.033,0.008,2.836,14.672,9.06,0.305,0.098351456,0
0.498,1526306.152,0,3.564,0.004,2.508,13.522,9.41,0.343,0,0
1.242,8152747.328,294573.341,5.419,0.005,0.744,27.31,NA,0.66,0.036131788,0
0.01,2636543.46,91751.6094,4.939540635,0.004,0.734,13.711,8.39,0.201,0.034799961,0
1.64,3276362.007,44331.15984,5.346,0.005,2.484,13.604,8.62,0.289,0.013530605,0
3.422,1112452.045,0,5.078,0.004,1.021,15.558,NA,0.151,0,0
1.865,1459945.318,69670.68328,3.85,0.006,0.834,13.254,NA,0.544,0.047721433,0
1.903,1894276.882,99667.9263,3.861,0.002,0.961,14.494,8.46,0.062,0.052615289,1
0.918,5221742.475,167829.5148,8.603,0,1.079,12.625,8.6,0.036,0.032140519,0
1.205,15151361.9,27822.69669,7.994,0,0.794,12.424,8.11,0.049,0.001836317,0
0.57,2433071.429,48794.34805,7.615,0.03,0.907,13.422,8.19,0.133,0.02005463,0
0.712,2299467.279,175112.5704,7.83056,0.002,1.057,19.507,8.15,0.279,0.076153539,0
1.36,2472841.514,68564.90804,7.8531,0.001,0.943,12.927,8.31,0.189,0.027727174,0
6.94,10273272.32,2250624.744,8.081,0.001,2.214,12.427,8.53,0.478,0.219075741,0
1.08,3319606.361,157225.2664,7.039,0.001,0.936,12.515,8.06,0.207,0.047362624,0
1.86,6822319.14,866691.9232,7.895,0.002,1.861,12.865,8.4,0.143,0.127037728,0
3.142,11128967.31,1394381.643,7.362,0,1.359,13.492,8.44,0.143,0.125292995,0
2.53,8484373.4,693937.3098,8.149,0.004,1.482,12.084,8.24,0.306,0.081790048,0
1.418,10140685.59,335925.5629,7.99523331,0.004,1.297,13.226,NA,0.241,0.033126514,0
1.845,9550550.44,274670.4518,6.446,0.002,1.241,13.417,8.75,0.288,0.028759646,0
2.225,9543680.536,104992.8971,7.153,0.004,1.215,13.352,8.38,0.121,0.0110013,0
1.457,2136920.71,201168.281,5.378,0.007,1.277,12.719,8.54,0.189,0.094139329,0
1.53,2366193.898,183861.5699,5.334,0.003,1.214,12.049,8.72,0.064,0.077703509,0
0.155,1478105.895,0,7.815,0,0.569,2.113,8.3,0.049,0,0
0.115,11321946.96,0,7.194,0.001,0.478,1.438,8.73,0.054,0,0
0,7785781.925,0,6.43,0.001,0.479,1.276,8.69,0.042,0,0
0.093,2831037.75,0,10.3304,0.001,0.603,0.97,8.85,0.172,0,0
0.068,2426356.097,0,6.66758,0.002,0.446,1.152,NA,0.167,0,0
0.36,1418560.861,0,6.798,0.001,0.677,1.451,8.86,0.069,0,0
0.213,12038386.94,0,6,0,0.41,1.298,9.04,0.231,0,0
0.317,757965.945,0,6.391,0.003,0.346,1.422,8.98,0.193,0,0
0.56,2506749.074,0,5.554,0.003,0.467,1.143,8.86,0.189,0,0
0.108,8560448.29,0,5.941,0.009,0.393,1.385,8.46,0.231,0,0
0.44,3188095.255,0,5.65394911,0.003,0.463,1.232,8.52,0.342,0,0
0.29,4581010.533,0,5.701,0.003,0.455,1.247,8.61,0.246,0,0
0.105,1572672.284,0,5.69,0,0.442,1.037,NA,0.223,0,0
0.248,2151088.256,0,4.543,0.002,0.42,0.926,8.41,0.093,0,0
0.54,1168912.627,0,4.781,0.003,0.522,1.031,NA,0.065,0,0
0.505,5962303.335,61721.45823,8.296,0,1.017,19.013,8.38,0.004,0.010351949,0
1.992,10459518.29,56286.10815,9.396,0,1.084,18.807,8.21,0.061,0.005381329,0
0.56,3225202.762,0,7.224,0.002,1.185,18.98,8.5,0.067,0,0
1.818,4371008.24,529086.9439,8.08256,0.002,1.575,19.178,8.49,0.185,0.1210446,0
1.28,8295890.462,34982.53668,8.48382,0.001,1.274,20.234,8.5,0.206,0.004216851,0
1.663,6532969.273,81714.86223,8.395,0.003,0.935,19.793,8.6,0.21,0.012508074,0
1.725,9312485.193,44196.61139,7.928,0.002,1.167,19.165,8.24,0.226,0.004745952,0
2.403,21848333.09,181498.0004,7.953,0.003,1.343,19.664,8.42,0.231,0.008307178,0
0.928,23822386.91,258748.0451,8.08,0.001,1.107,20.487,8.32,0.351,0.01086155,0
0.51,38836830.62,123555.9354,8.435,0.003,0.844,21.004,8.34,0.123,0.003181411,0
0.4,9333237.613,0,8.229710952,0.005,1.698,21.159,8.44,0.191,0,0
0.745,7769237.607,0,9.488,0.002,1.727,20.87,8.28,0.394,0,0
0.41,12601052.11,106078.9751,8.403,0.006,1.366,22.245,8.58,0.199,0.008418263,0
0.742,1863638.007,0,2.802,0.006,1.534,20.982,0,0.351,0,0
0.587,3557734.428,0,6.089,0.008,1.512,21.252,8.86,0.318,0,0
0.49,12150766.56,64040.23286,9.51,0,1.008,19.093,8.4,0.023,0.005270469,0
0.567,14068625.9,64560.49541,8.807,0.001,1.07,19.131,8.2,0.044,0.00458897,0
0.49,2297313.698,0,8.048,0.002,1.145,19.113,8.5,0.077,0,0
3.447,3923053.334,540755.0084,8.25824,0.002,1.54,20.035,8.46,0.697,0.137840341,0
1.7,12549851.53,34421.57625,8.3641,0.002,1.232,20.256,8.8,0.195,0.002742788,0
0.597,4313445.398,0,8.738,0.004,1.304,20.07,8.4,0.185,0,0
1.097,4542738.652,54329.58851,7.69,0.001,1.23,19.826,8.32,0.246,0.011959655,0
0.842,20120570.26,0,7.796,0.003,1.144,19.708,8.4,0.174,0,0
0.85,20385459.19,270831.9125,7.932,0.001,1.579,20.154,8.35,0.244,0.013285544,0
0.767,34264970.51,0,4.546,0.008,1.54,20.312,8.35,0.172,0,0
0.202,11270131.6,119842.5811,8.534032998,0.004,1.494,20.91,8.5,0.416,0.010633645,0
0.695,13758546.86,0,4.741,0.004,1.645,21.304,8.37,0.234,0,0
0.327,5289556.591,0,8.606,0.003,1.578,22.132,8.62,0.167,0,0
0.533,4399617.406,0,5.945,0.005,1.362,20.379,NA,0.213,0,0
0.205,5121302.012,19207.22443,6.241,0.006,1.378,19.734,8.82,0.251,0.003750457,0
0.16,2883359.187,0,6.281,0.004,0.486,23.583,8.56,-0.006,0,0
0.21,7687091.178,0,5.618,0.003,0.461,21.605,8.41,0.057,0,0
0,8415253.698,0,4.852,0.002,0.523,23.111,8.55,0.035,0,0
0.142,3284819.698,0,5.1608,0.002,0.611,22.244,8.45,0.163,0,0
0.068,5359652.648,0,5.24408,0.003,0.548,23.2,8.49,0.148,0,0
0.127,742734.7607,0,5.757,0.004,0.621,23.286,8.34,0.024,0,0
0,8980331.658,0,5.127,0.002,0.58,22.589,8.2,0.123,0,0
0.368,1271472.585,9932.089439,5.026,0.008,0.745,22.8,8.42,0.136,0.007811485,0
0.482,7100811.198,120699.2576,5.44,0.001,0.693,23.106,8.4,0.265,0.016997953,0
0.213,2867687.101,56270.8809,5.274,0.006,0.664,22.741,NA,0.268,0.019622392,0
0.235,3307203.726,0,5.02551577,0.003,0.652,22.337,8.21,0.14,0,0
0.303,1733571.855,0,5.222,0.003,0.622,22.587,8.27,0.154,0,0
0.058,4123761.945,0,4.878,0.002,0.562,24.841,NA,0.284,0,0
0.522,1886034.126,59688.40176,4.078,0.003,0.752,22.826,NA,0.115,0.031647573,0
0.325,1375382.071,0,3.993,0.002,0.71,22.362,8.34,0.15,0,0
0,4907243.165,0,5.908,0.001,0.601,7.788,8.49,0.02,0,0
0.145,7302057.689,0,5.632,0.001,0.788,7.249,8.56,0.049,0,0
0,4610870.405,0,3.171,0.002,0.818,7.932,8.56,0.066,0,0
0.08,2151943.579,0,5.09312,0,0.879,7.444,8.61,0.251,0,0
0.015,2083483.424,0,5.39154,0.002,0.858,7.158,8.67,0.126,0,0
0.18,5807358.44,0,5.434,0.002,0.846,7.331,8.43,0.175,0,0
0,3721748.709,0,4.924,0,0.807,6.553,8.69,0.118,0,0
0,13097908.35,0,5.102,0.002,0.929,7.418,8.68,0.212,0,0
0.587,6514004.368,0,4.147,0.003,0.861,7.183,8.36,0.282,0,0
0.61,5138924.937,0,4.32,0.008,0.802,13.429,8.54,0.122,0,0
0.005,7298767.05,0,4.023,0.002,0.879,7.524,8.59,0.186,0,0
0.335,2546514.914,0,3.39,0.003,1.017,7.578,8.49,0.3,0,0
0,9178934.683,0,4.171,0,0.715,11.739,8.68,0.027,0,0
0.015,10357579.39,0,4.429,0,0.637,11.6,8.36,0.04,0,0
0,2508281.554,0,4.02,0.003,0.699,11.847,8.71,0.061,0,0
0.007,3313350.23,0,4.32416,0.003,0.737,11.31,8.46,0.198,0,0
0,2114482.284,0,4.61336,0.021,0.727,11.484,8.6,0.207,0,0
0.22,4672000.065,0,4.806,0.003,1.334,12.139,8.64,0.055,0,0
0.472,1663759.804,32885.89324,4.759,0.006,2.398,11.794,8.37,0.305,0.01976601,0
0.955,3265180.428,76104.10399,4.824,0.007,1.098,12.333,8.28,0.305,0.023307779,0
0.305,11108902.98,34626.76992,5.045,0.004,1.694,9.021,NA,0.207,0.003117029,0
0.38,2127811.844,0,6.22284841,0.009,2.996,12.742,9.08,0.257,0,0
0.592,11710463.41,233110.3055,5.526,0.052,3.021,13.951,NA,0.413,0.019906155,0
0.3,1636819.223,75396.53084,5.287,0.005,2.802,13.962,NA,0.254,0.046062833,0
0.98,8945337.795,0,4.064,0.009,2.442,13.715,NA,0.225,0,0
0.165,7610126.64,0,8.032,0.013,0.965,6.101,7.9,0.077,0,0
0.095,7113491.416,0,5.584,0.011,0.975,6.073,7.7,0.115,0,0
0,21044733.05,48556.12843,7.227,0.003,1.012,6.11,7.9,0.064,0.002307282,0
0,4075329.178,0,7.74704,0.001,0.983,6.096,8.35,0.288,0,0
0.115,4394064.789,0,7.70418,0.002,1.167,6.364,8.41,0.175,0,0
0.208,1837412.214,0,8.481,0.001,1.55,6.001,9.08,0.007,0,0
0,6947851.611,0,7.886,0,1.159,5.955,7.97,0.136,0,0
0.227,1710592.744,21827.03279,7.37,0.001,1.017,6.609,8.55,0.193,0.012759924,0
0.585,5829011.758,0,6.995,0,1.204,6.271,8.41,0.3,0,0
0.245,6268553.302,0,3.469,0.005,1.322,6.351,8.65,0.145,0,0
0.088,5887319.095,0,6.944407622,0.002,1.062,6.335,8.28,0.16,0,0
0.298,1776707.513,0,3.902,0.001,1.215,6.199,7.69,0.33,0,0
0.04,1887457.872,0,6.887,0,1.104,6.624,NA,0.153,0,0
0.267,6472662.849,290736.6555,5.565,0.001,1.068,6.004,7.73,0.269,0.044917627,0
0.463,2091919.963,0,5.866,0.001,1.127,6.261,NA,0.166,0,0
0.007,1885226.202,0,4.558,0.001,1.457,12.256,8.56,0.091,0,0
0.403,7692364.964,0,3.993,0.002,1.208,11.57,8.65,0.117,0,0
0,19591218.72,0,4.079,0.003,1.359,12.42,8.49,0.138,0,0
0.175,5903196.972,0,3.92672,0.004,1.569,11.965,7.97,0.301,0,0
0.243,2393434.307,0,3.56216,0.052,1.889,12.358,7.7,0.251,0,0
0.168,4660519.2,0,3.398,0.008,1.365,13.067,8.16,0.112,0,0
0,9731521.501,0,3.627,0.003,1.019,11.687,8.38,0.224,0,0
0.575,2325667.524,0,3.191,0.003,0.623,11.664,8.5,0.314,0,0
0.642,9923943.378,0,3.094,0.004,1.415,23.428,8.38,0.221,0,0
0.108,8719013.588,0,3.855,0.096,1.5,12.976,8.57,0.363,0,0
0.273,9209272.371,38613.29028,3.839491272,0.001,1.376,13.069,8.17,0.371,0.004192871,0
0.67,2174586.765,179323.8593,3.082,0.006,1.972,13.255,8.34,0.296,0.082463419,0
3.278,22373999.47,1068488.668,4.99,0.004,3.462,14.178,8.93,0.578,0.047755819,0
1.242,1699571.382,70259.9852,3.166,0.009,1.786,12.352,8.75,0.534,0.041339826,0
0.837,1408029.46,28843.76679,3.245,0.025,1.6,19.012,8.78,0.293,0.020485201,0
0.055,7181858.599,0,3.984,0.001,1.019,7.993,8.49,0.005,0,0
0.233,2243277.344,0,4.841,0.003,0.908,8.09,8.45,0.047,0,0
0,1933307.593,0,4.159,0.007,0.89,8.047,8.46,0.072,0,0
0.007,3693510.033,0,3.68624,0.002,1.046,8.019,8.43,0.205,0,0
0.005,2642180.023,0,3.40594,0.003,0.566,8.035,8.62,0.571,0,0
0.22,1291940.66,0,3.471,0.001,0.872,8.173,8.58,0.011,0,0
0,4938675.137,0,3.433,0.003,0.987,8.37,8.63,0.226,0,0
0.29,1621969.55,7064.487595,3.638,0.004,2.084,8.169,8.8,0.25,0.0043555,0
0.565,6399154.943,0,3.886,0.002,1.235,8.592,8.38,0.373,0,0
0.322,1972407.466,0,3.972,0.004,1.357,8.102,NA,0.17,0,0
0.183,11902887.3,4413042.973,3.834502386,0.006,1.305,8.427,8.75,0.33,0.370753991,0
0.565,7338451.324,301770.6191,4.148,0.004,1.748,9.256,NA,0.209,0.04112184,0
0.227,3043305.078,456461.3706,3.513,0.001,1.778,8.203,8.64,0.282,0.149988699,0
0.895,3807720.944,0,2.783,0.008,1.037,8.489,NA,0.146,0,0
0.08,11894069.98,0,6.258,0.001,0.573,23.157,8.63,0.011,0,0
0.188,4069723.267,0,5.688,0.001,0.64,21.977,8.44,0.054,0,0
0,13296726.19,0,5.173,0.003,0.596,23.023,8.7,0.054,0,0
0.357,3842438.476,0,5.1536,0.004,0.778,23.093,8.42,0.115,0,0
0,10452925.68,0,5.3492,0.003,0.681,23.557,8.63,0.249,0,0
0.31,1677901.415,0,5.738,0.003,0.701,23.093,8.58,0.247,0,0
0,6651187.031,0,5.33,0.003,0.707,22.817,8.3,0.362,0,0
1.412,3452537.237,138549.2948,5.609,0.014,2.252,22.238,8.16,0.252,0.040129703,0
0.445,7684255.865,38531.70549,5.306,0,0.65,22.727,8.45,0.092,0.00501437,0
0.27,3249735.663,75304.86593,4.905,0.004,0.683,23.558,NA,0.14,0.023172613,0
0,4952960.274,17367.27245,5.573794342,0.004,0.626,22.636,8.39,0.144,0.003506443,0
0.355,4278396.976,522913.5762,4.929,0.005,0.642,22.503,8.44,0.161,0.122221846,0
0.185,952389.457,158747.6642,4.938,0.003,0.633,24.486,NA,0.183,0.166683559,0
0.31,2446100.011,10166.28103,4.186,0.003,0.63,22.149,NA,0.114,0.004156118,0
0.395,1774786.402,0,4.191,0.003,0.617,14.773,8.46,0.049,0,0
0,0,0,5.185,0.001,1.035,13.235,8.56,0.052,0,0
0.07,7906520.238,0,4.839,0.003,1.419,12.55,8.66,0.119,0,0
0,2761058.869,0,3.527,0.047,0.877,12.377,7.89,0.154,0,0
0,3204162.669,0,3.3176,0.017,0.833,11.966,8.32,0.228,0,0
0,2552012.475,12196.11358,3.82204,0.062,0.774,11.392,8.06,0.299,0.004779018,0
0.22,2326767.44,0,4.834,0.159,1.041,8.449,7.64,0.477,0,0
0,1650728.905,6147.171005,3.542,0.025,1.155,9.181,8.8,0.221,0.003723913,1
16.538,4889877.036,1294154.634,3.406,0.008,2.045,10.319,8.8,0.446,0.264659955,1
13.818,8420498.446,671802.6652,3.455,0.003,2.27,10.172,9,0.263,0.079781817,0
5.575,6364355.601,421489.7378,7.354,0.079,1.382,10.709,8.94,0.339,0.066226617,0
2.915,737643.2334,20860.69824,4.22030957,0.007,1.995,11.2,8.96,0.235,0.0282802,0
2.96,6542553.421,82603.17279,7.202,0.005,2.08,11.39,9.09,0.324,0.012625525,1
39.825,6621235.433,0,5.432,0.011,2.75,11.608,9.53,0.539,0,1
83.64,3125750.902,0,4.24,0.085,4.598,12.39,9.39,1.07,0,1
37.09,2782536.801,3815962.006,4.167,0.105,3.153,9.621,9.83,0.673,1.371396779,0
0.142,26244536.11,63147.41505,5.979,0,0.876,9.029,8.59,0.039,0.002406117,0
0.067,8619702.431,0,6.421,0.001,0.79,8.895,8.65,0.065,0,0
0,2325811.258,0,5.802,0.004,0.844,9.491,8.61,0.085,0,0
0.07,2931896.6,0,6.22784,0.001,0.952,9.153,8.43,0.117,0,0
0.232,1448363.163,18970.03437,6.54494,0.003,0.944,9.447,8.8,0.235,0.013097568,0
0.415,12977233.65,240056.6192,6.41,0.003,1.282,9.788,8.5,0.014,0.018498289,0
0,1522549.872,28839.79073,5.619,0.005,0.902,9.48,8.34,0.255,0.018941771,0
0.295,4289994.497,128612.183,5.846,0.002,1.368,9.481,8.66,0.181,0.029979568,0
0.66,6974437.269,54633.75491,5.664,0.001,0.999,9.739,8.62,0.277,0.007833428,0
0.065,13931521.52,118244.1184,6.457,0.002,1.509,14.491,9.03,0.156,0.008487524,0
0.485,2495750.62,0,6.280386896,0.004,2.053,9.344,8.89,0.258,0,0
0.255,3182603.61,0,6.062,0,1.776,9.95,9.28,0.215,0,0
0.455,6056341.289,0,4.723,0.006,1.611,9.842,8.63,0.155,0,0
1.452,1846114.002,16793.39084,4.884,0.004,1.955,10.207,10.94,0.125,0.009096616,0
