file,sample,subSample,speed_mph,disk_in,closeDisk,basket,scanStart,roughness,resPercent,resPercentFull
T16P1_20191017_102017,1,4,3,1,2,1,4346,56.5056711445902,20.9754020813623,38.8111518111518
T16P1_20191017_102017,1,5,3,1,2,1,5461,49.8593547066833,20.2677388836329,41.8726088726089
T16P1_20191017_102017,1,6,3,1,2,1,6576,54.5233710550346,17.1561021759697,32.0936100936101
T16P1_20191017_102017,1,7,3,1,2,1,7691,60.0412046055492,12.0558183538316,29.3296703296703
T16P1_20191017_102017,1,8,3,1,2,1,8806,57.5249873713031,10.9782403027436,22.3508343508344
T13P1_20191015_110107,1,1,3,3,6,1,1001,41.1476168511101,17.112582781457,27.4550264550265
T13P1_20191015_110107,1,2,3,3,6,1,2471,43.3915238712267,25.2024597918638,33.7724867724868
T13P1_20191015_110107,1,3,3,3,6,1,3941,44.8024672731163,20.1475875118259,29.3752543752544
T13P1_20191015_110107,1,4,3,3,6,1,5411,44.9192415794169,26.127719962157,38.1925111925112
T13P1_20191015_110107,1,5,3,3,6,1,6881,44.8976064826718,15.1371807000946,24.7769637769638
T13P1_20191015_110107,1,6,3,3,6,1,8351,45.5550128977448,19.4124881740776,30.3549043549044
T13P1_20191015_110107,1,7,3,3,6,1,9821,47.5522812380849,14.9981078524125,26.1664631664632
T13P1_20191015_110107,1,8,3,3,6,1,11291,49.1708865047098,18.9157994323557,25.7602767602768
T15P1_20191015_113641,1,1,6.6,5,6,1,1001,51.279788389929,5.15988647114475,16.99185999186
T15P1_20191015_113641,1,2,6.6,5,6,1,2101,52.2073178434601,2.79848628192999,11.1978021978022
T15P1_20191015_113641,1,3,6.6,5,6,1,3201,50.1867602734778,4.80416272469253,15.7338217338217
T15P1_20191015_113641,1,4,6.6,5,6,1,4301,46.2715027323186,4.22138126773888,16.3593813593814
T15P1_20191015_113641,1,5,6.6,5,6,1,5401,49.660487416589,5.75780510879849,20.953194953195
T15P1_20191015_113641,1,6,6.6,5,6,1,6501,49.303806582933,2.54872280037843,12.4562474562475
T15P1_20191015_113641,1,7,6.6,5,6,1,7601,49.8683230780774,1.92715231788079,9.27228327228327
T15P1_20191015_113641,1,8,6.6,5,6,1,8701,52.4180380976071,1.40208136234626,6.86813186813187
T12P1_20191015_113330,1,1,3,5,6,1,1001,49.2811397791046,7.59129612109745,20.981277981278
T12P1_20191015_113330,1,2,3,5,6,1,1916,46.3758719052461,6.47492904446547,17.1432641432641
T12P1_20191015_113330,1,3,3,5,6,1,2831,47.0814468998237,6.70293282876064,21.6084656084656
T12P1_20191015_113330,1,4,3,5,6,1,3746,49.9262492961949,12.3557237464522,26.6650386650387
T12P1_20191015_113330,1,5,3,5,6,1,4661,46.1310422062696,10.1561021759697,25.5657305657306
T12P1_20191015_113330,1,6,3,5,6,1,5576,44.532607994645,8.59791863765374,23.8103378103378
T12P1_20191015_113330,1,7,3,5,6,1,6491,44.1614855682497,12.7190160832545,28.1668701668702
T12P1_20191015_113330,1,8,3,5,6,1,7406,43.6669168834746,9.22894985808893,27.6381766381766
T17P1_20191017_103118,1,1,3,1,6,1,1001,46.1182995721384,20.3263954588458,42.7130647130647
T17P1_20191017_103118,1,2,3,1,6,1,1883,44.1620166605204,24.8306527909177,41.8778998778999
T17P1_20191017_103118,1,3,3,1,6,1,2765,46.5331844679876,25.9120151371807,42.8087098087098
T17P1_20191017_103118,1,4,3,1,6,1,3647,42.3313502605058,18.9025543992431,40.992673992674
